,weight,gain,cover
ma7,0.12408223,0.0007788938,0.03324048
ma21,0.06975037,0.0012243063,0.052316323
26ema,0.0154185025,0.0004827178,0.058685105
12ema,0.03891336,0.0005048071,0.053502068
MACD,0.09544787,0.00037400707,0.071620256
20sd,0.055800293,0.0006014224,0.046161257
upper_band,0.040381793,0.00050310924,0.08118712
lower_band,0.030837005,0.00054875633,0.056570474
ema,0.15565345,0.18820676,0.051223174
momentum,0.26945668,0.80428433,0.054585222
num_tweets,0.013215859,0.00018271795,0.00074109493
case_ratio,0.008810572,0.00031649755,0.033356585
compound_score,0.013950073,0.0002485899,0.048123185
pos,0.010279002,0.00018406803,0.10346424
neu,0.019823788,0.0002463478,0.07180169
neg,0.01688693,0.00035170835,0.08360403
sentiment_class,0.0,0.0,0.0
pred_classes_int,0.0007342144,0.00034121153,0.005792242
total_favorite_count,0.0066079297,0.0003991098,0.020375235
total_retweet_count,0.013950073,0.00022058735,0.07365016
